Name,Sector,Industry,Market Cap,Current Price,52 Week High,52 Week Low,Average Volume,Ticker
The Chemours Company,Basic Materials,Specialty Chemicals,3071976704,20.58,32.7,15.1,1415030,CC
"Freshpet, Inc.",Consumer Defensive,Packaged Foods,7300462080,150.57,154.67,65.805,491947,FRPT
Verona Pharma plc,Healthcare,Biotechnology,3099122944,38.15,39.38,11.39,1029407,VRNA
Sunrun Inc.,Technology,Solar,3594523136,16.08,22.26,8.825,7711277,RUN
"Azenta, Inc.",Healthcare,Medical Instruments & Supplies,2196310528,44.9,69.16,40.24,558501,AZTA
Bloom Energy Corporation,Industrials,Electrical Equipment & Parts,2468582912,10.82,18.14,8.412,4863028,BE
"Chart Industries, Inc.",Industrials,Specialty Industrial Machinery,6054773760,141.43,171.68,101.6,746911,GTLS
"iRhythm Technologies, Inc.",Healthcare,Medical Devices,2548909312,81.44,124.115,55.92,584688,IRTC
"Bath & Body Works, Inc.",Consumer Cyclical,Specialty Retail,6853823488,31.28,52.99,26.21,5493273,BBWI
